類型(Types),先備關係(Prerequisite),名稱(Name)
先備關係(Prerequisite),一位數加一位數（進位）,7的乘法及應用
先備關係(Prerequisite),一位數加一位數（進位）,9的乘法及應用
先備關係(Prerequisite),"2、5、4、8的乘法綜合應用問題
3、6、7、9的乘法綜合應用問題",九九乘法及應用
先備關係(Prerequisite),直觀分類平面圖形,認識平面圖形的邊、角和頂點
先備關係(Prerequisite),認識平面圖形的邊、角和頂點,認識及分辨平面圖形的周界、內部、外部（含封閉圖形的辨認）
先備關係(Prerequisite),點數計算平面圖形周長,計算給定所有邊長的平面圖形周長
先備關係(Prerequisite),認識及分辨平面圖形的周界、內部、外部（含封閉圖形的辨認）,認識周長意義
先備關係(Prerequisite),十十乘法及應用,擬題活動
先備關係(Prerequisite),容量的間接比較,容量或液量個別單位比較
先備關係(Prerequisite),認識重量及直觀比較,認識天平，及比較重量
先備關係(Prerequisite),無,認識重量及直觀比較
先備關係(Prerequisite),認識天平，及比較重量,重量的保留性
先備關係(Prerequisite),認識天平，及比較重量,重量的個別單位比較
先備關係(Prerequisite),"認識天平，及比較重量
遞移律",重量的遞移關係
先備關係(Prerequisite),認識300以內的數,認識1000以內的數
先備關係(Prerequisite),認識百位及位值單位換算,1000以內數的位值單位換算（幾個百幾個十幾個一）
先備關係(Prerequisite),300以內的兩數大小比,1000以內的兩數大小比較（含數與算式的比較）
先備關係(Prerequisite),無,認識1000元錢幣及應用
先備關係(Prerequisite),無,認識500元錢幣及應用
先備關係(Prerequisite),"總共多少元（100元以上）
認識1000以內的數",付錢買東西（500元以上）
先備關係(Prerequisite),二位數加二位數（不進位，和在100以內）,三位數加法(不進位)
先備關係(Prerequisite),"三位數加法(不進位)
二位數加二位數（二次進位，和在200以內）",三位數加法(進位，但不進到千位)
先備關係(Prerequisite),二位數減二位數（不退位，被減數在99以內）,三位數減法(不退位)
先備關係(Prerequisite),"三位數減法(不退位)
二位數減二位數（退位，被減數在99以內）",三位數減法(一次退位)
先備關係(Prerequisite),用線段圖輔助學生理解應用問題,透過語意轉換解決相同數據不同情境的比較型計算
先備關係(Prerequisite),三位數加法(進位，但不進到千位),三位數加法估算
先備關係(Prerequisite),三位數減法(不退位),三位數減法估算
先備關係(Prerequisite),認識1公分及幾個1公分就是幾公分,認識1公尺及公尺的量感
先備關係(Prerequisite),長度在1公分以上的估測,長度在1公尺以上的估測
先備關係(Prerequisite),認識1公分及幾個1公分就是幾公分,公分和公尺的關係和換算
先備關係(Prerequisite),三位數加法(進位，但不進到千位),公尺的加法
先備關係(Prerequisite),三位數減法(退位),公尺的減法
先備關係(Prerequisite),認識周長意義,點數計算平面圖形周長
先備關係(Prerequisite),報讀年曆,認識1個月有幾天，及大月和小月
先備關係(Prerequisite),認識1個月有幾天，及大月和小月,認識平年和閏年
先備關係(Prerequisite),報讀月曆,查月曆點數日數
先備關係(Prerequisite),"計算給定所有邊長的平面圖形周長
測量整公分的長度（基本型）
公分的加法",測量平面圖形周長
先備關係(Prerequisite),查月曆點數日數,透過點數得知幾天後、幾天前的日期
先備關係(Prerequisite),報讀年曆,透過年曆認識1年有幾個月
先備關係(Prerequisite),10個一數,10的乘法及應用
先備關係(Prerequisite),二位數加二位數（不進位，和在50以內）,十幾乘以一位數
先備關係(Prerequisite),認識乘法（認識被乘數、乘數和積）,1的乘法及應用
先備關係(Prerequisite),報讀月曆,認識1星期有幾天，知道每月至少（大概）幾星期
先備關係(Prerequisite),認識乘法（認識被乘數、乘數和積）,0的乘法及應用
先備關係(Prerequisite),十十乘法及應用,乘法交換律
先備關係(Prerequisite),"九九乘法及應用
10的乘法及應用",十十乘法及應用
先備關係(Prerequisite),"透過年曆認識1年有幾個月
二位數減二位數（退位，被減數在99以內）",年和月的換算
先備關係(Prerequisite),"十十乘法及應用
二位數加二位數（二次進位，和在200以內）",解決乘加兩步驟問題（不併式）
先備關係(Prerequisite),"十十乘法及應用
二位數減二位數（退位，被減數在99以內）",解決乘減兩步驟問題（不併式）
先備關係(Prerequisite),"十十乘法及應用
10以內的加法",解決加乘兩步驟問題（不併式）
先備關係(Prerequisite),"遞移律
長度、厚薄、高矮的混合和進階比較(基準點不同)",長度的遞移關係
先備關係(Prerequisite),認識＞、＜和＝,遞移律
先備關係(Prerequisite),"十十乘法及應用
熟練18以內的減法心算（心算卡）",解決減乘兩步驟問題（不併式）
先備關係(Prerequisite),認識1公尺及公尺的量感,以1公尺為單位進行長度實測
先備關係(Prerequisite),"從具體物判斷是否平分
十十乘法及應用",平分
先備關係(Prerequisite),平分,從平分認識分數
先備關係(Prerequisite),10以內比多少、大小,從具體物判斷是否平分
先備關係(Prerequisite),從平分認識分數,認識分母在12以內的單位分數（連續量）
先備關係(Prerequisite),認識分母在12以內的單位分數（連續量）,認識分母在12以內的單位分數（離散量）
先備關係(Prerequisite),"面的直觀比較大小
認識平面圖形的邊、角和頂點",初步認識長方體和正方體的構成要素
先備關係(Prerequisite),認識分母在12以內的單位分數（連續量）,分母在12以內的單位分數大小比較
先備關係(Prerequisite),分母在12以內的單位分數大小比較,單位1不同的分數大小比較
先備關係(Prerequisite),認識平面圖形的邊、角和頂點,直觀認識正三角形、正方形和長方形特性
先備關係(Prerequisite),面的認識,面的直觀比較大小
先備關係(Prerequisite),無,面的認識
先備關係(Prerequisite),"10以內比多少、大小
十十乘法及應用",分裝
先備關係(Prerequisite),面的直觀比較大小,面的直接比較大小
先備關係(Prerequisite),面的直接比較大小,面的間接比較大小
先備關係(Prerequisite),面的間接比較大小,面積的個別單位比較
先備關係(Prerequisite),"3的乘法及應用
6的乘法及應用
7的乘法及應用
9的乘法及應用",3、6、7、9的乘法綜合應用問題
先備關係(Prerequisite),資料分類整理,做分類、紀錄、呈現、說明與討論
先備關係(Prerequisite),做分類、紀錄、呈現、說明與討論,分類再分類
