Types,Prerequisite,Target
Prerequisite,ASA全等性質,一條對角線將平行四邊形分成兩個全等三角形
Prerequisite,無,兩組對邊相等
Prerequisite,無,兩組對角相等、鄰角互補
Prerequisite,無,對角線互相平分
Prerequisite,一條對角線將平行四邊形分成兩個全等三角形,兩對角線分成四個面積相等的三角形
Prerequisite,平行四邊形的性質,平行四邊形的應用
Prerequisite,SAS全等性質,判別是否為平行四邊形-兩組對邊分別相等
Prerequisite,同側內角互補,判別是否為平行四邊形-兩組對角分別相等
Prerequisite,SAS全等性質,判別是否為平行四邊形-對角線互相平分
Prerequisite,SAS全等性質,判別是否為平行四邊形-一組對邊平行且相等
Prerequisite,無,四邊邊長相等
Prerequisite,無,對角線互相垂直平分
Prerequisite,菱形的性質,菱形的面積公式
Prerequisite,菱形的性質,菱形的應用
Prerequisite,SAS全等性質,判別是否為菱形-對角線互相垂直平分
Prerequisite,無,兩條對角線互相垂直
Prerequisite,箏形的性質,箏形的面積公式
Prerequisite,箏形的性質,箏形的應用
Prerequisite,SAS全等性質,判別是否為箏形-一條對角線垂直平分另一條對角線
Prerequisite,無,四個角是直角
Prerequisite,無,對角線互相平分且等長
Prerequisite,矩形的性質,矩形的應用
Prerequisite,SSS全等性質,判別是否為矩形-對角線互相平分且等長
Prerequisite,無,對角線互相垂直平分且等長
Prerequisite,正方形的性質,正方形的應用
Prerequisite,無,梯形的定義
Prerequisite,無,梯形的兩腰中點連線性質
Prerequisite,無,等腰梯形的定義
Prerequisite,無,兩底角相等
Prerequisite,SAS全等性質,兩對角線等長
Prerequisite,梯形的定義,等腰梯形的應用
Prerequisite,平行的性質,等高三角形的面積比
Prerequisite,平行的性質,等底三角形的面積比
Prerequisite,比例式的運算性質,平行線截比例線段性質-AD：DB=AE：EC
Prerequisite,比例式的運算性質,平行線截比例線段性質-AD：AB=AE：AC
Prerequisite,比例式的運算性質,平行線截比例線段性質-BD：AD=CE：AC
Prerequisite,比例式的運算性質,平行線截比例線段性質-AD：DB=DE：BC
Prerequisite,"等線段作圖
等角作圖",等分線段尺規作圖
Prerequisite,平行線截比例線段性質-AD：DB=AE：EC,平行線截比例線段性質的應用-AB：BC=DE：EF
Prerequisite,平行線截比例線段性質的運用-AB：BC=DE：EF,平行線截比例線段性質的應用
Prerequisite,"等高三角形的面積比
等底三角形的面積比",由比例線段判別平行線-AD：AB=AE：AC
