標籤(Label),編號(ID),名稱(Name),學制(Education System),學科(Subject),是否為根結點(IsRoot),主題(Topic),次主題(Unit),概念(Concept),,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,用七巧板排圖形,國小(Elementary school),數學(Math),,形,x,平面圖形,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,堆疊形體,國小(Elementary school),數學(Math),,形,x,立體,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,點數簡單形體,國小(Elementary school),數學(Math),,形,x,立體,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀日曆,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識昨天、今天、明天的用語,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀月曆,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,完成月曆及應用,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,補足金額（100元以內）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,報讀年曆,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,日期的先後順序,國小(Elementary school),數學(Math),,量,x,幾月幾日,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識100元錢幣及應用,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識10元錢幣及應用,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識1元錢幣及應用,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識50元錢幣及應用,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,認識5元錢幣及應用,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,非單一個錢幣的換算（50元以內）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,非單一個錢幣的換算（100元以內）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,總共多少元（50元以內）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,總共多少元（100元以內）,國小(Elementary school),數學(Math),,數,x,認識錢幣,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加一位數（不進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加一位數（進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數加二位數（不進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,一位數加二位數（進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減一位數（不退位，被減數在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減一位數（退位，被減數在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減二位數（不退位，被減數在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數減二位數（退位，被減數在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數減法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,二位數加二位數（不進位，和在50以內）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,初步認識加減互逆關係,國小(Elementary school),數學(Math),,關係和代數,x,關係,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,判斷加減法時機（一次進位或一次退位）,國小(Elementary school),數學(Math),,計算,x,二位數加法,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,資料分類整理,國小(Elementary school),數學(Math),,資料與不確定性,x,做紀錄,,,,,,,,,,,,,,,,,
知識點(KnowledgePoint),,透過畫記做資料的紀錄,國小(Elementary school),數學(Math),,資料與不確定性,x,做紀錄,,,,,,,,,,,,,,,,,
